Band1,Band2,Band3,Band4,Band5,Band6
76,58,45,120,70,34
74,58,45,120,69,32
76,58,43,121,70,32
75,57,45,121,67,31
75,58,44,121,67,32
76,59,43,125,71,35
74,58,44,126,72,33
74,58,44,124,70,32
75,57,43,122,69,31
76,58,45,119,73,36
77,59,47,103,81,46
79,58,48,98,81,50
75,57,42,115,65,31
76,55,44,117,60,30
76,57,44,113,62,31
75,56,43,117,58,28
74,55,42,116,59,26
76,55,44,113,59,29
78,56,45,107,60,29
78,58,46,102,62,32
79,58,50,97,68,37
83,64,62,89,84,50
87,75,83,82,112,66
89,78,90,84,119,75
78,65,59,95,73,36
75,55,44,98,53,28
74,58,44,94,54,28
73,57,46,92,52,27
74,56,43,97,54,28
73,54,43,102,54,25
75,57,42,104,57,29
74,58,47,113,69,36
80,66,49,129,66,33
79,66,47,132,61,26
80,65,46,129,62,31
82,67,48,128,61,29
78,64,48,130,61,29
80,66,47,129,59,29
79,65,47,134,60,31
77,62,45,125,61,31
76,55,44,110,64,34
75,56,44,101,72,42
75,59,44,97,84,49
71,57,45,96,76,41
77,60,45,91,85,51
75,58,43,89,90,53
77,58,48,88,88,53
75,57,45,102,71,43
73,54,41,111,57,28
73,53,40,109,59,30
72,53,41,108,60,30
72,52,39,107,54,27
73,52,40,104,50,26
73,52,40,102,49,25
73,52,39,99,50,27
74,51,38,103,49,23
73,52,39,105,49,25
72,53,39,105,50,25
73,53,40,108,55,26
75,55,44,113,70,34
77,59,45,123,80,41
76,56,41,133,72,33
75,57,43,127,74,34
76,59,42,123,74,36
76,58,43,117,73,37
75,58,45,107,78,46
78,58,47,98,81,50
81,60,46,88,82,51
77,58,47,85,84,54
81,63,54,78,84,55
82,64,55,74,85,62
83,66,60,72,91,67
83,67,62,72,90,67
83,66,59,73,88,64
83,64,57,73,86,62
83,65,59,70,88,64
84,67,60,83,83,61
81,68,54,115,68,41
81,68,50,137,61,29
82,67,48,137,60,31
82,67,48,136,60,30
82,67,50,137,60,29
80,66,46,131,60,29
75,59,45,109,62,30
73,55,43,105,62,30
74,55,42,104,59,29
73,54,43,101,57,29
74,55,41,104,55,26
73,56,42,108,59,30
75,56,42,102,63,34
79,65,50,121,70,34
82,67,49,126,66,35
80,65,49,118,67,33
77,59,46,115,65,36
75,55,42,118,59,28
75,54,42,120,55,25
71,54,40,119,57,28
72,54,39,120,53,24
76,56,47,110,61,33
76,60,50,102,72,41
74,57,45,110,62,32
74,56,41,115,63,30
75,54,43,115,63,33
75,55,41,116,64,30
75,53,43,118,63,29
75,57,46,115,69,34
82,64,57,102,82,51
78,57,51,101,63,36
73,54,43,101,55,27
73,54,43,102,55,27
73,54,43,102,53,26
76,55,43,102,53,27
74,55,44,98,54,28
74,55,44,97,53,30
74,55,42,102,54,29
74,57,46,104,58,31
77,61,45,106,66,36
79,64,51,103,73,40
80,65,52,96,74,44
82,65,56,82,82,54
79,66,56,86,78,49
78,64,48,99,69,39
77,61,47,105,73,37
77,60,44,115,76,39
77,60,47,118,85,45
78,63,51,107,84,53
78,60,48,114,78,39
74,59,43,118,67,34
74,57,41,118,62,28
74,53,39,115,58,29
74,56,39,113,58,30
76,53,40,115,59,29
74,55,39,115,58,28
82,65,56,91,79,47
81,69,68,94,99,62
82,70,72,93,93,58
83,67,66,97,80,43
79,62,61,102,69,38
78,59,51,108,70,38
79,57,47,114,71,36
76,58,46,115,70,37
75,56,45,113,62,31
75,55,45,116,58,29
74,55,42,121,58,29
72,54,41,122,58,29
73,54,40,119,59,28
73,54,42,117,58,28
73,55,43,110,61,31
75,56,42,113,62,31
73,55,41,116,58,28
74,55,41,118,57,27
73,54,40,120,57,27
74,54,40,121,58,27
75,53,39,121,59,29
74,53,40,120,59,29
74,54,42,118,57,27
74,53,39,118,58,28
71,53,40,120,56,25
74,54,40,120,57,28
73,53,39,122,57,28
74,54,41,122,58,26
74,53,40,121,57,28
75,55,41,122,59,27
74,58,41,124,64,33
74,56,41,128,67,30
74,55,41,127,66,34
75,56,41,128,67,30
75,59,45,119,64,30
89,70,71,99,80,50
102,91,100,82,124,99
100,88,93,73,137,109
90,72,72,74,102,82
82,67,57,91,87,57
80,65,54,106,76,41
76,61,49,84,66,35
76,59,45,69,46,26
73,51,43,41,32,20
76,55,46,60,49,29
86,68,61,83,81,51
81,65,54,104,86,48
81,63,50,117,81,43
77,61,47,124,76,37
77,60,46,124,73,34
75,58,44,127,72,33
77,58,43,128,72,34
76,58,43,128,71,34
75,58,42,128,69,31
75,59,44,130,69,33
75,58,43,131,71,34
74,58,43,127,70,33
75,59,42,124,69,34
74,57,45,128,68,33
73,57,44,128,66,31
75,59,43,132,69,33
75,59,42,133,70,32
75,58,43,134,72,33
73,57,44,132,69,33
76,57,42,129,66,31
75,56,43,118,61,29
74,54,41,104,56,28
75,55,43,105,56,27
74,56,42,106,56,29
75,57,43,111,57,28
73,57,42,116,60,28
77,58,44,121,63,29
75,58,43,128,69,32
75,57,42,123,66,31
75,54,42,115,56,28
74,56,41,116,50,24
75,56,41,110,54,27
75,56,41,110,54,27
76,64,50,107,66,36
79,66,46,119,69,32
79,67,46,118,69,31
78,65,47,113,67,35
80,65,49,98,67,34
78,62,52,81,66,43
82,66,54,78,71,50
83,67,57,81,85,56
79,62,52,95,89,53
80,64,57,93,93,58
80,62,50,95,90,53
78,62,52,99,89,48
79,62,48,95,89,53
78,60,47,97,87,51
76,60,48,100,87,46
76,60,46,105,86,46
76,60,44,114,87,42
77,59,44,120,87,42
76,57,43,122,75,36
75,57,43,123,64,32
74,57,44,122,61,29
73,56,42,119,58,27
75,56,42,118,59,30
75,56,42,118,58,26
74,56,40,116,56,29
72,56,41,119,59,28
73,57,43,125,61,31
74,57,43,128,63,31
75,57,42,128,62,29
75,57,43,121,62,29
77,59,48,110,67,35
79,65,50,104,74,42
79,67,51,113,75,40
76,67,50,124,72,34
78,66,48,128,69,35
79,67,49,128,70,33
76,66,46,128,70,34
77,66,47,124,68,33
78,66,49,124,70,33
75,66,49,117,70,33
80,68,51,110,74,40
85,69,68,86,92,60
86,70,69,82,98,69
83,75,78,89,107,65
99,92,116,95,131,86
97,92,120,96,127,81
99,89,117,91,123,78
85,77,84,86,110,74
83,69,56,101,77,45
78,66,49,114,71,35
79,66,47,118,71,33
80,66,46,115,71,35
79,68,52,108,73,40
79,64,49,102,75,37
73,57,45,100,58,30
72,56,40,99,52,25
71,55,42,101,53,26
73,55,42,99,54,27
73,56,42,98,53,27
72,57,44,97,56,28
73,57,44,97,56,30
74,57,44,99,55,28
76,60,51,99,77,40
78,64,53,104,91,50
77,63,49,114,89,46
76,62,46,115,90,42
77,62,45,113,92,45
77,64,52,105,83,44
79,64,53,106,81,43
77,64,55,107,75,39
77,62,53,106,77,40
77,62,53,106,76,40
78,62,53,109,72,39
77,61,51,111,70,35
76,59,49,112,70,36
76,61,52,114,70,37
77,60,51,113,67,35
75,58,49,112,68,33
76,59,49,109,68,34
79,61,52,107,71,38
77,60,50,99,78,42
79,61,51,90,87,51
78,61,48,88,83,48
77,60,47,93,82,41
77,59,46,97,82,42
79,59,46,93,83,44
76,60,47,94,82,46
76,59,44,100,82,43
78,59,45,110,84,38
75,58,44,114,86,42
76,59,43,112,85,39
76,60,45,106,85,42
77,59,45,106,84,44
78,61,51,94,89,53
79,64,48,99,86,52
76,59,47,116,75,38
76,60,45,108,76,41
76,58,46,116,72,34
74,57,45,121,69,34
75,57,44,122,68,34
78,57,42,120,66,31
74,58,44,122,70,34
74,58,42,125,72,32
76,57,44,125,72,32
75,58,43,123,69,32
76,60,46,114,78,41
76,59,48,97,83,49
78,59,47,89,85,53
77,59,46,95,80,46
76,57,45,105,71,37
76,57,45,98,74,40
76,57,42,110,66,31
76,56,45,115,59,28
77,56,44,117,56,26
76,56,44,114,57,29
76,57,45,109,59,30
76,58,48,103,62,31
78,59,48,98,61,31
81,63,57,94,68,38
82,64,61,96,79,45
76,55,48,103,60,30
74,55,44,102,52,29
74,56,45,94,56,29
74,57,47,95,53,29
76,57,43,100,54,25
74,56,42,102,55,26
75,59,45,106,59,31
77,63,49,119,72,38
78,68,48,133,62,29
79,66,48,134,63,29
81,66,47,130,63,32
80,66,46,129,59,28
80,64,49,129,60,29
80,66,48,130,58,30
76,63,47,133,58,28
78,59,45,117,61,29
74,55,40,113,56,26
72,55,42,111,56,28
74,56,40,106,62,31
72,54,41,111,60,29
76,55,44,103,67,40
75,59,44,93,81,51
75,59,48,91,80,53
74,54,41,109,60,30
72,52,40,108,53,24
72,53,39,105,51,25
72,52,41,101,53,26
74,54,41,106,57,27
73,53,41,109,55,26
73,53,38,108,49,25
72,52,38,108,49,24
73,50,40,110,49,24
72,52,40,108,50,26
72,51,39,111,51,25
75,54,42,109,63,31
76,59,46,118,78,38
76,57,44,131,79,37
76,57,41,132,74,32
76,58,41,130,74,34
75,58,42,130,73,34
76,58,43,128,73,34
75,57,43,127,75,37
77,58,42,122,75,38
76,57,45,111,76,46
75,56,44,102,82,47
80,61,52,82,85,56
80,63,54,80,84,56
82,64,57,78,87,61
79,64,56,77,83,59
80,64,57,76,86,59
82,64,59,74,85,61
84,66,60,74,90,62
82,68,56,102,78,51
83,67,50,130,64,33
81,66,49,138,60,28
81,67,49,136,60,29
81,67,48,139,60,30
80,65,48,132,59,30
77,60,46,116,60,30
76,57,44,104,60,30
75,55,44,103,60,29
74,55,41,100,56,28
73,55,41,101,56,27
75,56,42,106,58,27
74,53,43,107,57,28
75,55,43,108,61,29
80,65,47,131,64,32
80,66,49,135,60,31
79,67,48,130,64,32
80,65,50,121,70,36
78,61,48,115,69,36
76,56,42,117,59,29
74,54,41,117,58,28
73,56,43,115,60,30
77,57,47,105,65,35
77,60,48,102,71,40
75,56,43,113,62,31
74,54,40,114,62,31
75,54,43,116,64,28
74,56,41,115,63,34
74,55,41,115,64,31
77,59,49,108,68,41
78,58,48,104,65,37
73,52,42,105,53,26
76,55,43,103,53,26
74,55,45,99,56,29
73,55,43,101,54,26
75,54,42,102,53,27
74,55,45,98,56,27
75,55,43,97,55,29
74,54,42,104,55,26
75,54,42,110,53,26
76,56,41,108,58,29
77,59,45,103,65,35
81,64,52,91,76,47
81,65,54,90,78,46
79,66,50,101,71,38
80,65,51,101,69,40
80,65,54,94,73,43
78,64,52,96,76,44
77,61,49,108,75,41
77,60,45,118,76,39
78,62,47,119,82,41
77,63,49,118,82,44
76,59,47,117,72,34
76,56,42,114,60,30
75,57,44,109,59,31
78,56,43,107,65,33
80,62,56,96,70,44
88,74,73,74,107,76
87,76,85,80,115,77
91,78,97,75,126,83
90,78,91,73,121,76
88,76,92,78,120,78
91,78,92,81,111,70
92,77,89,87,104,62
86,75,81,92,99,61
83,68,70,96,95,57
80,66,64,101,89,52
80,63,59,104,78,44
77,63,56,105,65,35
77,59,51,108,59,31
75,57,45,110,57,29
73,55,43,110,61,31
84,70,68,102,80,43
77,62,57,106,75,41
77,58,49,111,73,40
75,58,48,111,65,35
74,57,46,113,57,28
73,54,43,116,55,25
72,53,40,118,56,27
74,53,39,117,57,27
73,53,39,120,57,27
72,54,40,121,57,28
73,54,39,122,57,28
73,53,38,123,56,28
73,53,39,121,57,28
73,54,38,119,57,27
74,56,41,122,62,28
74,56,41,126,66,30
74,54,40,128,66,30
75,56,41,128,66,32
75,55,40,126,66,30
73,54,40,123,61,32
75,56,43,114,67,34
82,64,58,93,93,60
88,73,72,83,111,79
84,67,58,82,82,54
77,62,49,74,52,31
76,54,44,54,39,24
73,55,41,53,31,21
77,56,45,49,39,23
78,59,48,69,57,30
79,61,51,76,61,37
87,69,60,96,91,57
87,69,60,96,91,57
79,67,52,110,79,41
77,66,51,113,76,39
79,65,49,113,77,36
78,64,46,119,76,36
76,62,46,121,76,38
76,62,48,120,70,34
75,59,42,126,70,32
75,57,42,129,72,34
74,58,42,129,70,33
74,57,40,129,67,31
73,55,40,129,67,31
75,56,41,126,63,30
76,57,44,125,68,34
74,56,43,128,65,32
75,59,43,131,67,31
76,59,43,131,68,31
76,59,44,132,68,34
74,59,44,133,70,33
76,57,43,130,68,32
77,56,42,119,62,30
75,55,42,106,56,28
75,55,44,97,55,28
75,57,43,95,56,30
